Date,Hour,Load
20170115,23:00,12928.22
20170116,0:00,12326.57
20170116,1:00,12007.89
20170116,2:00,11917.76
20170116,3:00,12011.04
20170116,4:00,12378.91
20170116,5:00,13266.05
20170116,6:00,14529.5
20170116,7:00,15474.27
20170116,8:00,15912.66
20170116,9:00,15870.69
20170116,10:00,15707.07
20170116,11:00,15441.31
20170116,12:00,15172.81
20170116,13:00,15037.26
20170116,14:00,15014.9
20170116,15:00,15259.68
20170116,16:00,16138.57
20170116,17:00,17335.6
20170116,18:00,17201.22
20170116,19:00,16686.43
20170116,20:00,15968.09
20170116,21:00,14884.17
20170116,22:00,13582.14
20170116,23:00,12468.66
20170117,0:00,11794.3
20170117,1:00,11437.57
20170117,2:00,11283.87
20170117,3:00,11333.93
20170117,4:00,11721.44
20170117,5:00,12837.48
20170117,6:00,14738.14
20170117,7:00,15716.07
20170117,8:00,15712.23
20170117,9:00,15530.57
20170117,10:00,15361.27
20170117,11:00,15196.95
20170117,12:00,15021.06
20170117,13:00,15133.02
20170117,14:00,15262.89
20170117,15:00,15500.01
20170117,16:00,16253.76
20170117,17:00,17110.75
20170117,18:00,16990.97
20170117,19:00,16508.42
20170117,20:00,15803.59
20170117,21:00,14744.53
20170117,22:00,13440.74
20170117,23:00,12322.69
20170118,0:00,11601.08
20170118,1:00,11216.45
20170118,2:00,11025.4
20170118,3:00,11026.51
20170118,4:00,11371.23
20170118,5:00,12400.96
20170118,6:00,14147.48
20170118,7:00,15273.66
20170118,8:00,15587.44
20170118,9:00,15709.01
20170118,10:00,15819.22
20170118,11:00,15863.94
20170118,12:00,15811.2
20170118,13:00,15769.93
20170118,14:00,15632.65
20170118,15:00,15686.35
20170118,16:00,16305.4
20170118,17:00,17129.26
20170118,18:00,16983.27
20170118,19:00,16516.36
20170118,20:00,15839.23
20170118,21:00,14787.82
20170118,22:00,13463.74
20170118,23:00,12351.69
20170119,0:00,11630.05
20170119,1:00,11225.04
20170119,2:00,11021.87
20170119,3:00,11052.01
20170119,4:00,11405.04
20170119,5:00,12464.42
20170119,6:00,14321.21
20170119,7:00,15313.72
20170119,8:00,15294.43
20170119,9:00,15083.22
20170119,10:00,14921.08
20170119,11:00,14739.76
20170119,12:00,14551.93
20170119,13:00,14581.31
20170119,14:00,14610.03
20170119,15:00,14790.04
20170119,16:00,15534.08
20170119,17:00,16461.99
20170119,18:00,16378.71
20170119,19:00,15958.5
20170119,20:00,15309.5
20170119,21:00,14334.54
20170119,22:00,13048.9
20170119,23:00,11972.39
20170120,0:00,11279
20170120,1:00,10923.37
20170120,2:00,10775.73
20170120,3:00,10795.19
20170120,4:00,11157.89
20170120,5:00,12176.41
20170120,6:00,13979.9
20170120,7:00,15020.84
20170120,8:00,15272.49
20170120,9:00,15354.61
20170120,10:00,15394.8
20170120,11:00,15228.13
20170120,12:00,15038.89
20170120,13:00,15112.04
20170120,14:00,14994.19
20170120,15:00,15000.53
20170120,16:00,15505.65
20170120,17:00,16182.15
20170120,18:00,15937.15
20170120,19:00,15431.45
20170120,20:00,14847.52
20170120,21:00,14037.89
20170120,22:00,13011.58
20170120,23:00,12005.92
20170121,0:00,11232.67
20170121,1:00,10756.62
20170121,2:00,10501.9
20170121,3:00,10408.79
20170121,4:00,10495.82
20170121,5:00,10894.45
20170121,6:00,11638.89
20170121,7:00,12420
20170121,8:00,13246.55
20170121,9:00,13781.71
20170121,10:00,13926.52
20170121,11:00,13706.96
20170121,12:00,13277.79
20170121,13:00,12894.42
20170121,14:00,12755.37
20170121,15:00,12932.76
20170121,16:00,13569.82
20170121,17:00,14649.33
20170121,18:00,14584.6
20170121,19:00,14142.23
20170121,20:00,13670.72
20170121,21:00,13023.13
20170121,22:00,12208.54
20170121,23:00,11367.81
20170122,0:00,10705.45
20170122,1:00,10279.05
20170122,2:00,10056.31
20170122,3:00,9958.97
20170122,4:00,10028.67
20170122,5:00,10300.92
20170122,6:00,10840.85
20170122,7:00,11492.54
20170122,8:00,12297.6
20170122,9:00,12923.66
20170122,10:00,13203.85
20170122,11:00,13362.2
20170122,12:00,13542.56
20170122,13:00,13625.45
20170122,14:00,13735.73
20170122,15:00,14020.1
20170122,16:00,14797.61
20170122,17:00,15569.2
20170122,18:00,15380.58
20170122,19:00,14690.2
20170122,20:00,14160.22
20170122,21:00,13333.74
20170122,22:00,12364.33
20170122,23:00,11353.07
20170123,0:00,10710.54
20170123,1:00,10377.12
20170123,2:00,10242.86
20170123,3:00,10330.88
20170123,4:00,10760.36
20170123,5:00,11910.47
20170123,6:00,13808.79
20170123,7:00,14941.98
20170123,8:00,15196.64
20170123,9:00,15341.67
20170123,10:00,15464.89
20170123,11:00,15539.79
20170123,12:00,15527.03
20170123,13:00,15572.38
20170123,14:00,15555.38
20170123,15:00,15734.1
20170123,16:00,16434.21
20170123,17:00,17323.76
20170123,18:00,17191.93
20170123,19:00,16673.47
20170123,20:00,15930.41
20170123,21:00,14837.73
20170123,22:00,13530.87
20170123,23:00,12436.85
20170124,0:00,11756.41
20170124,1:00,11354.48
20170124,2:00,11191.3
20170124,3:00,11204.49
20170124,4:00,11527.56
20170124,5:00,12461.8
20170124,6:00,14010.01
20170124,7:00,15074.18
20170124,8:00,15581
20170124,9:00,15831.78
20170124,10:00,16067.85
20170124,11:00,16168.96
20170124,12:00,16163.5
20170124,13:00,16135.76
20170124,14:00,15993.05
20170124,15:00,15996.56
20170124,16:00,16501.52
20170124,17:00,17270.99
20170124,18:00,17078.03
20170124,19:00,16538.31
20170124,20:00,15754.8
20170124,21:00,14661.13
20170124,22:00,13344.71
20170124,23:00,12247.77
20170125,0:00,11514.57
20170125,1:00,11113.39
20170125,2:00,10914.14
20170125,3:00,10931.58
20170125,4:00,11301.99
20170125,5:00,12391.13
20170125,6:00,14263.09
20170125,7:00,15228.13
20170125,8:00,15279.21
20170125,9:00,15169.75
20170125,10:00,15009.3
20170125,11:00,14810.12
20170125,12:00,14611.68
20170125,13:00,14535.41
20170125,14:00,14519.62
20170125,15:00,14686.8
20170125,16:00,15300.82
20170125,17:00,16488.43
20170125,18:00,16559
20170125,19:00,16146.39
20170125,20:00,15519.15
20170125,21:00,14509.49
20170125,22:00,13212.08
20170125,23:00,12045.74
20170126,0:00,11313.17
20170126,1:00,10906.16
20170126,2:00,10708.15
20170126,3:00,10689.91
20170126,4:00,11033.91
20170126,5:00,12090.3
20170126,6:00,13921.38
20170126,7:00,14942.36
20170126,8:00,15080.58
20170126,9:00,15116.86
20170126,10:00,15158.59
20170126,11:00,15020.43
20170126,12:00,14757.88
20170126,13:00,14493.8
20170126,14:00,14408.6
20170126,15:00,14543.14
20170126,16:00,15144.17
20170126,17:00,16207.7
20170126,18:00,16248.89
20170126,19:00,15868.39
20170126,20:00,15282.64
20170126,21:00,14313.84
20170126,22:00,13072.82
